"birth_city","citizenship","pct_citizen","total_city_records"
"AL-DALOUE","475",100,1
"AL-DAMMAM","475",100,1
"AL-DERBASIA","475",100,1
"AL-DSCHAHRA","997",100,1
"AL-FATIRA","475",100,1
"AL-GHASSANIYAH","475",100,1
"AL-GHEBARI","451",100,1
"AL-GIRBA","224",100,1
"AL-HADSCHAR AL-ASWAD","475",100,1
"AL-HAMDANIYA","438",100,1
"AL-HARA","475",100,1
"AL-HASAHKEH","475",100,1
"AL-HASAK","475",100,1
"AL-HASAKEH","475",100,1
"AL-HASKA","475",100,1
"AL-HASSAKA","475",100,1
"AL-HILLA BASIL","438",100,1
"AL-HOCEIMA","252",100,1
"AL-HOUDAIDA","445",100,1
"AL-HURRIYYA","475",100,1
"AL-JAWADIYA","475",100,1
"AL-JAZLAH","475",100,1
"AL-JMEIL","475",100,1
"AL-JUBAIL","472",100,1
"AL-KARAKH BAGDAD","438",100,1
"AL-KARK","475",100,1
"AL-KARKH","438",100,1
"AL-KARKH BAGDAD","438",100,1
"AL-KHOBAR","475",100,1
"AL-KHOWIN","475",100,1
"AL-KOSH","438",100,1
"AL-LATAKIA","475",100,1
"AL-LEITH","475",100,1
"AL-MAARA","475",100,1
"AL-MAFRAQ","475",100,1
"AL-MALIKIA","475",100,1
"AL-MALIKIYA","475",100,1
"AL-MALIKIYAH","475",100,1
"AL-MALKIYA","475",100,1
"AL-MARAIE","475",100,1
"AL-MARJ","451",100,1
"AL-MAYADIN","475",100,1
"AL-MERAIE","475",100,1
"AL-MINIEH","451",100,1
"AL-MOUHASAN","475",100,1
"AL-NAJAF","438",100,1
"AL-NASIRIYAK","438",100,1
"AL-NASRIEH","438",100,1
"AL-QAHTANIYYA","438",100,1
"AL-QAMISCHLI","475",100,1
"AL-QAMISCHLY","475",100,1
"AL-QAMISHLI","475",100,1
"AL-QAMISHLY","475",100,1
"AL-QAUSH","438",100,1
"AL-QITAA","475",100,1
"AL-QUAUSH","438",100,1
"AL-QUSH TELKAIF NINEVA","438",100,1
"AL-RAHA","475",100,1
"AL-RAKKA","475",100,1
"AL-RAQQA","475",100,1
"AL-RASAFA BAGDAD","438",100,1
"AL-RUMADI","438",100,1
"AL-SCHMAL","438",100,1
"AL-SULAIMANIYA","438",100,1
"AL-SULAIMANIYAH-ZENTRUM","438",100,1
"AL-SULAIMANIYAJ","438",100,1
"AL-SULAYMANEYAH","438",100,1
"AL-TABQA","475",100,1
"AL-TAMIN","438",100,1
"AL-WAHDA AL-MADAYEN BAGDAD","438",100,1
"AL-YAAROBIA","475",100,1
"AL-YARMOUK","459",100,1
"AL-ZAWIYA","475",100,1
"ALAABAS","475",100,1
"ALABASIA","475",100,1
"ALABBASIAH","475",100,1
"ALACAMEZAR","163",100,1
"ALACANT","161",100,1
"ALAIN","475",100,1
"ALAJGIR","444",100,1
"ALAKILISE","163",100,1
"ALAKILSE","163",100,1
"ALAM","475",100,1
"ALAMIN","475",100,1
"ALAMPUR","436",100,1
"ALANCIK","163",100,1
"ALAPLI","163",100,1
"ALAPPUZHA","436",100,1
"ALAPPUZHA KERALA","436",100,1
"ALARNABA","475",100,1
"ALASCHARA","475",100,1
"ALASHARNI","475",100,1
"ALASSEHIR","163",100,1
"ALATHUR KERALA","436",100,1
"ALATSHANA","475",100,1
"ALAUSA LAGOS","232",100,1
"ALAY","451",100,1
"ALAZIKIA","475",100,1
"ALAZIZIYE","475",100,1
"ALAZIZYA","475",100,1
"ALAZOUKIA","475",100,1
"ALBA-IULIA","154",100,1
"ALBAAJ","438",100,1
"ALBAB","475",100,1
"ALBACETE","161",100,1
"ALBAOTA DE JOS","125",100,1
"ALBASHOURA","451",100,1
"ALBASIRA","475",100,1
"ALBATERA","161",100,1
"ALBAWIDA","475",100,1
"ALBEHEIRA","287",100,1
"ALBERGARIA-A-VELHA","153",100,1
"ALBIGAA","451",100,1
"ALBOKAMAL","475",100,1
"ALBUKAMAL","475",100,1
"ALBUNUELAS GRANADA","161",100,1
"ALCALA LA REAL","129",100,1
"ALCAMO","137",100,1
"ALCANENA","153",100,1
"ALCANTARA","153",100,1
"ALCANTARILLA","161",100,1
"ALCARRAS","152",100,1
"ALCAZARQUIVIR","161",100,1
"ALCHEHABIE","451",100,1
"ALCHEVSK","166",100,1
"ALCOBACA","153",100,1
"ALCORCON","161",100,1
"ALCOUTIM","153",100,1
"ALCOY ALICANTE","252",100,1
"ALCURA","163",100,1
"ALDANA","475",100,1
"ALDARDARA","475",100,1
"ALDASHISCHA","475",100,1
"ALDEACIPRESTE","161",100,1
"ALDERBASSIYA","475",100,1
"ALDERDARA","475",100,1
"ALDHALEA","421",100,1
"ALDIRBASSIA","475",100,1
"ALDISHISHA","475",100,1
"ALDSHISHAH","475",100,1
"ALDUJAIL","438",100,1
"ALEHSAY","475",100,1
"ALEKO KONST","125",100,1
"ALEKSANDROPOLI","134",100,1
"ALEKSANDROVKA","444",100,1
"ALEKSANDROWKA","444",100,1
"ALEKSEEWKA","160",100,1
"ALEKSEJEWKA","444",100,1
"ALEKXANDROW KUJAWSKI","152",100,1
"ALENCON","246",100,1
"ALEP","122",100,1
"ALEPPA","475",100,1
"ALEPPE","475",100,1
"ALEPPO AFRIN","475",100,1
"ALEPPO ASHKAN","475",100,1
"ALEPPO CHEICH KHORZ","475",100,1
"ALEPPPO","475",100,1
"ALESUND","130",100,1
"ALEXANDERPOLI","475",100,1
"ALEXANDRENI","154",100,1
"ALEXANDRIJA","166",100,1
"ALEXANDROPOLI","134",100,1
"ALEXANDROUPOLIS","134",100,1
"ALEXANDROWSKOJE","160",100,1
"ALEXANDRU ODOBESCU","154",100,1
"ALEXEEWSKA","160",100,1
"ALEXENI","154",100,1
"ALEXSANDERIA","475",100,1
"ALEY","451",100,1
"ALFANDEGA DA FE","153",100,1
"ALFARES","438",100,1
"ALFARIS","475",100,1
"ALFENA-VALONGO","153",100,1
"ALFIENA","153",100,1
"ALFRAGIDE AMADORA","153",100,1
"ALFUJAIRA","475",100,1
"ALGA","444",100,1
"ALGARROBO","332",100,1
"ALGECIRAS","161",100,1
"ALGEMESI","161",100,1
"ALGERIEN","475",100,1
"ALGETHE","475",100,1
"ALGHASSANIA","475",100,1
"ALGMESHLI","475",100,1
"ALGNETRN","475",100,1
"ALGOSH","438",100,1
"ALGRANGE","143",100,1
"ALHABIA","161",100,1
"ALHAFIRA","475",100,1
"ALHAFSEA","475",100,1
"ALHAGER ALASWAD","475",100,1
"ALHAMA","161",100,1
"ALHAMAM","475",100,1
"ALHASAKAH","475",100,1
"ALHASAKEH","475",100,1
"ALHASSAKA","475",100,1
"ALHAUOAFAT","252",100,1
"ALHAWAIJ","475",100,1
"ALHAWAYJ","475",100,1
"ALHILALIA","475",100,1
"ALHOSAIN","475",100,1
"ALHRIJY","475",100,1
"ALHSAKA","475",100,1
"ALHUDA","475",100,1
"ALHUSSEINIA","451",100,1
"ALI BADRAN","475",100,1
"ALI NAHRI","451",100,1
"ALIAGA","163",100,1
"ALIBAYRAMLI","425",100,1
"ALIBEY","163",100,1
"ALIBEYLI","163",100,1
"ALIBUNAR","170",100,1
"ALIDEMIRCI","163",100,1
"ALIGARH","436",100,1
"ALIMAN","154",100,1
"ALIOGLU","163",100,1
"ALISHARA","475",100,1
"ALIYA","475",100,1
"ALJABRIH","475",100,1
"ALJAHRA","475",100,1
"ALJANODIA","475",100,1
"ALJAWADIA-ALMUSCHREFA","475",100,1
"ALJDEIDE","451",100,1
"ALJIZUR","153",100,1
"ALJUSTREL","153",100,1
"ALKADRYAH","475",100,1
"ALKAFER","475",100,1
"ALKALIUBIA","287",100,1
"ALKAMISHI","475",100,1
"ALKAMISHLE","475",100,1
"ALKAMSHLI","475",100,1
"ALKARAK","475",100,1
"ALKASAKEH","475",100,1
"ALKESRE","475",100,1
"ALKHALIDYA","475",100,1
"ALKHAN-KALA","160",100,1
"ALKHISCHUNIYE","475",100,1
"ALKHOBER","997",100,1
"ALKHOMS","248",100,1
"ALKHSHUNIYAH","475",100,1
"ALKHUMS","248",100,1
"ALKNETRA","475",100,1
"ALKOSH TELKAIF NINEVA","438",100,1
"ALKOSH TELKEF MOSUL","438",100,1
"ALKOSH-TALKAIF-NINIVE","438",100,1
"ALKOSH-TELKEF- NANIWA","438",100,1
"ALKOSHINIA","475",100,1
"ALKOURIA","475",100,1
"ALKOUSCH","438",100,1
"ALKRA","475",100,1
"ALKSAIR","475",100,1
"ALKUNITRA","475",100,1
"ALKUSCH","438",100,1
"ALKUSH","438",100,1
"ALKUSSWA","475",100,1
"ALLAITH","475",100,1
"ALLEGHE","137",100,1
"ALLEPO","475",100,1
"ALLEPPO","475",100,1
"ALLESSANDRIA","170",100,1
"ALLUNGAREH","237",100,1
"ALMA MATA","160",100,1
"ALMAFRAQ","287",100,1
"ALMAHAMAKIA","475",100,1
"ALMAIDEN","475",100,1
"ALMAIYADIN","475",100,1
"ALMALKIA","475",100,1
"ALMANSOURA","475",100,1
"ALMATINSKAYA","444",100,1
"ALMATINSKAYA OBL","444",100,1
"ALMAYADEN","475",100,1
"ALMAYADIN","475",100,1
"ALMAZEH","475",100,1
"ALMEIDA","153",100,1
"ALMEIRIM","327",100,1
"ALMENDRALEJO","161",100,1
"ALMERE","124",100,1
"ALMINA","451",100,1
"ALMISHERFA","475",100,1
"ALMODORA","459",100,1
"ALMODOVAR","161",100,1
"ALMODOVAR DEL RIO","161",100,1
"ALMSEFRA","475",100,1
"ALMSERIB","475",100,1
"ALMUKDADIA","438",100,1
"ALMUS","163",100,1
"ALMUTASALITAH","157",100,1
"ALNABATIE","451",100,1
"ALNAGAF","438",100,1
"ALNAIRAB","475",100,1
"ALNASHABYAH","475",100,1
"ALNASHWA ALGHARBIA","475",100,1
"ALONIA","134",100,1
"ALORA","161",100,1
"ALOSCHINKA","444",100,1
"ALPHEN AAN DEN RIJN","148",100,1
"ALQAEM","438",100,1
"ALQATAAH","475",100,1
"ALQOSA","438",100,1
"ALQOSH TEL-KEEF NINAWA","438",100,1
"ALQOUSH","438",100,1
"ALQUAITRA","475",100,1
"ALQUINTRA","475",100,1
"ALQUNAYTERA","475",100,1
"ALQUNITRA","475",100,1
"ALQURIAH","475",100,1
"ALQUSCH-TELKEEF-NINAWA","438",100,1
"ALQUSH","438",100,1
"ALQUTIFA","475",100,1
"ALQYNTRA","475",100,1
"ALRAIHAN","475",100,1
"ALRAKA","475",100,1
"ALRAKKA","475",100,1
"ALRAMI","475",100,1
"ALRAQQA","475",100,1
"ALRAS","475",100,1
"ALRASHIDIYA","475",100,1
"ALRAYHANIYAH","475",100,1
"ALRESTAN","475",100,1
"ALRKA","475",100,1
"ALSABHA","475",100,1
"ALSABRIA","475",100,1
"ALSADIA","475",100,1
"ALSAEDE SENAB","475",100,1
"ALSAFAH","475",100,1
"ALSAFERA","475",100,1
"ALSAFIRAH","475",100,1
"ALSAHALKUR","475",100,1
"ALSAHIBIE","475",100,1
"ALSAIDA ZEINAB DAMASCUS SUBURB","475",100,1
"ALSAIDEH ZAINAB","475",100,1
"ALSAIEDA ZAINAB","475",100,1
"ALSAIEDAZEIYNAB","475",100,1
"ALSAIYDA ZEINAB","475",100,1
"ALSAJEDA ZAINAB","475",100,1
"ALSALIHA","475",100,1
"ALSAMADANIEH","475",100,1
"ALSAMAJ","160",100,1
"ALSAMDANIA","475",100,1
"ALSANAMAIN","475",100,1
"ALSARAFAND","451",100,1
"ALSEDA ZENB","475",100,1
"ALSEIDE ZEINAB","475",100,1
"ALSHAMAL","438",100,1
"ALSHAMAL SINGER NINAWA","438",100,1
"ALSHEIK EDRIS","475",100,1
"ALSHEIKH","475",100,1
"ALSHEIKH MESKIN","475",100,1
"ALSHEMAL","438",100,1
"ALSHEVSK","166",100,1
"ALSHIAFE","475",100,1
"ALSHIKHAN","438",100,1
"ALSIADEH ZAINAB","475",100,1
"ALSIDEH ZAINAB","475",100,1
"ALSOUEDAH","475",100,1
"ALSUKHNA","475",100,1
"ALSUSA","475",100,1
"ALSWAIDAA","475",100,1
"ALSWAR","475",100,1
"ALSWIDAA","475",100,1
"ALT MERTINSDORF","152",100,1
"ALT-ALLENSTEIN","152",100,1
"ALTAAL DAMASCUS SUBURB","475",100,1
"ALTABAKA","475",100,1
"ALTAIF","475",100,1
"ALTAIREGION","160",100,1
"ALTAJ","160",100,1
"ALTAL DAMASCUS SUBURB","475",100,1
"ALTALIAA","475",100,1
"ALTAMIM","438",100,1
"ALTAMURA","137",100,1
"ALTEL","475",100,1
"ALTENBERGEN","122",100,1
"ALTHAORA","475",100,1
"ALTHAURA","475",100,1
"ALTINDAS","163",100,1
"ALTINISIK","163",100,1
"ALTINOZU","163",100,1
"ALTINYAYLA","163",100,1
"ALTIPINAR","163",100,1
"ALTO DO SEIXALINHO","153",100,1
"ALTONKUPRI","438",100,1
"ALTSCHEWSK","166",100,1
"ALTTABKA","475",100,1
"ALTUNHISAR","163",100,1
"ALTUNYAYLA","163",100,1
"ALUCURA","163",100,1
"ALUNIS","154",100,1
"ALUSCHTA","166",100,1
"ALUVA","436",100,1
"ALVAIAZERE","153",100,1
"ALXCADOP","163",100,1
"ALYARMOUK","475",100,1
"ALYARMUK","997",100,1
"ALYTUS","142",100,1
"ALZA WIYAH","248",100,1
"ALZANO LOMBARDO","137",100,1
"ALZAWIYAH","248",100,1
"ALZEDIA","475",100,1
"ALZIB LBN","451",100,1
"ALZIRA","154",100,1
"ALZURBEIR BASRA","438",100,1
"AM SHARSHOUH","475",100,1
"AMADR","224",100,1
"AMALA NAGAR","436",100,1
"AMALIADA","134",100,1
"AMANGELDY","444",100,1
"AMANIPUR KAPURTHALA","436",100,1
"AMANN","475",100,1
"AMANTAUSKI","444",100,1
"AMAOBA","232",100,1
"AMARENTE","153",100,1
"AMAROUSSION","134",100,1
"AMATO","137",100,1
"AMBALA","436",100,1
"AMBALA CITY","436",100,1
"AMBALA CITY HARYANA","436",100,1
"AMBAM","262",100,1
"AMBARIBAJAR","460",100,1
"AMBATOSIA BEALANANA","249",100,1
"AMBERG TYSKLAND","157",100,1
"AMBERT","129",100,1
"AMBILLY","154",100,1
"AMBOSITRA","249",100,1
"AMBROLAURI","430",100,1
"AMDABAD","436",100,1
"AMED","438",100,1
"AMEDEHOEVE","283",100,1
"AMERICANA","137",100,1
"AMEUR","252",100,1
"AMIENS","161",100,1
"AMIEVA","161",100,1
"AMMOUDI SERRES","134",100,1
"AMODA HASAKA","475",100,1
"AMORIM POVOA DE VARZIM","153",100,1
"AMPELAKIA","134",100,1
"AMPELIKO","134",100,1
"AMPUDIA","161",100,1
"AMRAN","421",100,1
"AMRITPUR","460",100,1
"AMRITSAR","436",100,1
"AMROHA","436",100,1
"AMUDE","475",100,1
"AMUNDE","475",100,1
"AMURSKAYA OBLAST","160",100,1
"AMWROSSIJIWKA","166",100,1
"AMWROSSIJIWKA DONEZK","166",100,1
"AMZACEA","154",100,1
"AN GIANG","432",100,1
"ANAHEIM","154",100,1
"ANAKAPALLI","436",100,1
"ANAMUR","163",100,1
"ANAPA","160",100,1
"ANAPOLIS","327",100,1
"ANARACHI","134",100,1
"ANARRACHI","134",100,1
"ANATALYA","163",100,1
"ANATOLIKO","134",100,1
"ANATOLIVKA","166",100,1
"ANBAR","438",100,1
"ANDANA","163",100,1
"ANDERLECHT","124",100,1
"ANDHRA PRADESH","436",100,1
"ANDIGAN","477",100,1
"ANDIJAN","477",100,1
"ANDIJAN REGION","477",100,1
"ANDIJON","166",100,1
"ANDIMESHK","439",100,1
"ANDREIASU DE JOS JUD. VRANCEA","154",100,1
"ANDREJEWKA","160",100,1
"ANDRIESENI","154",100,1
"ANDRIIVKA","166",100,1
"ANDRIIVKA POLTAWAS GEBIET","166",100,1
"ANDRIJWKA","166",100,1
"ANDRONOWA","160",100,1
"ANDRONOWO","160",100,1
"ANDRUSHIVKA","166",100,1
"ANDRYCHOW","152",100,1
"ANENII-NOI","154",100,1
"ANFA","252",100,1
"ANFEG","252",100,1
"ANG THONG","476",100,1
"ANGAMALY","436",100,1
"ANGERS","129",100,1
"ANGOLA","153",100,1
"ANGRA DOS REIS-RJ","327",100,1
"ANGREN","477",100,1
"ANHUI","479",100,1
"ANHUMAS","137",100,1
"ANINA","154",100,1
"ANINOASA","154",100,1
"ANJOMA FIANARANTSOA","249",100,1
"ANJRA","252",100,1
"ANKONA","170",100,1
"ANNABA","221",100,1
"ANNOPOL","152",100,1
"ANSHERO-SUDZENSK","160",100,1
"ANSJAK","160",100,1
"ANTA","153",100,1
"ANTAKIA","475",100,1
"ANTALAYA","475",100,1
"ANTARIE","475",100,1
"ANTARIYA","475",100,1
"ANTAYLA","163",100,1
"ANTIBES","154",100,1
"ANTONIO DIAS","327",100,1
"ANTONOVKA","166",100,1
"ANTONOWKA","444",100,1
"ANTRAZIT","166",100,1
"ANTRAZYT","166",100,1
"ANTRIM","135",100,1
"ANVERS","154",100,1
"ANWAZ","439",100,1
"ANYANG","467",100,1
"ANYKSCIAI","142",100,1
"AONTROIM","135",100,1
"AOUNANE","252",100,1
"AOURAM-EL-GOZ","475",100,1
"APABIR","166",100,1
"APICE","137",100,1
"APOLONOWKA","160",100,1
"APOSTOLACHE","154",100,1
"APOSTOLOVO","166",100,1
"APPELDOORN","148",100,1
"APPIGNANO DEL TRONTO","137",100,1
"APRILIA","154",100,1
"APXONTIKA","134",100,1
"AQRAB","475",100,1
"AR RAKKA","475",100,1
"AR RAQQA","475",100,1
"AR-RASTAN","475",100,1
"ARAB ELSHATE","475",100,1
"ARAB SHAH","475",100,1
"ARABAN","163",100,1
"ARABIA SAUDITA","475",100,1
"ARACATUBA","327",100,1
"ARACHINOVO","144",100,1
"ARAFAT","239",100,1
"ARAGONA","137",100,1
"ARALSK","444",100,1
"ARANIA","436",100,1
"ARAPGIR","163",100,1
"ARAPKIR","163",100,1
"ARAPOVICE","170",100,1
"ARARAGUA","137",100,1
"ARARAT","422",100,1
"ARARIPINA","327",100,1
"ARAT","422",100,1
"ARBEEL","438",100,1
"ARBNESH","132",100,1
"ARBORBUENA (SPANIEN","161",100,1
"ARCEN EN VELDEN","148",100,1
"ARCHANGELSK","471",100,1
"ARDA","154",100,1
"ARDEBIL","439",100,1
"ARDUD","154",100,1
"ARENAS DE SAN PEDRO","161",100,1
"ARESLAN TASH","475",100,1
"AREWITT ARANITTI","224",100,1
"ARGANDA DEL REY","161",100,1
"ARGANIL","153",100,1
"ARGENTINIEN","323",100,1
"ARGIROKASTRO","134",100,1
"ARGUJILLO","161",100,1
"ARGUVAN","163",100,1
"ARGZANA","224",100,1
"ARHAVI","163",100,1
"ARHOUNA-TNIN SIDI EL YAMANI","161",100,1
"ARIANA","285",100,1
"ARIANO IRPINO","137",100,1
"ARINGAY LA UNION","462",100,1
"ARISVI","134",100,1
"ARIYA","232",100,1
"ARIZONA","368",100,1
"ARKANSAS","368",100,1
"ARKOSI","155",100,1
"ARLAT","130",100,1
"ARLLAT","150",100,1
"ARM","166",100,1
"ARMANAZ","475",100,1
"ARMAVIR","430",100,1
"ARMAWIR","422",100,1
"ARMENIA COL","349",100,1
"ARMENIEN","166",100,1
"ARMERO-TOLIMA","349",100,1
"ARMUTCAYIRI","163",100,1
"ARMUTCUK","163",100,1
"ARNAVUTKOY","163",100,1
"ARNHEIM","148",100,1
"AROLSEN","163",100,1
"ARPADERESI","163",100,1
"ARPALI","163",100,1
"ARPOOKARA","436",100,1
"ARRAR","475",100,1
"ARRAS","129",100,1
"ARROYO DE LA LUZ","161",100,1
"ARSAL","475",100,1
"ARSAMAS","160",100,1
"ARSLAN KOBANE","475",100,1
"ARSLANTASH","475",100,1
"ARTASCHAT","422",100,1
"ARTASHA","166",100,1
"ARTATION ARTA","134",100,1
"ARTEMIVSK","166",100,1
"ARTEMOWSK","166",100,1
"ARTIKLAR","163",100,1
"ARTJOM","160",100,1
"ARTJOMOWSK","160",100,1
"ARTMENIEN","422",100,1
"ARTUKLU","163",100,1
"ARTUZ","475",100,1
"ARTVIN","163",100,1
"ARUAD","475",100,1
"ARUBA","148",100,1
"ARUSHA","282",100,1
"ARWAD","451",100,1
"ARYS","152",100,1
"ARZACHENA","137",100,1
"ARZIS","166",100,1
"AS SARIH","445",100,1
"AS-SUQAILABIYYA","475",100,1
"ASABA","232",100,1
"ASADABAD","439",100,1
"ASAFI","252",100,1
"ASAGI GOCEK","163",100,1
"ASAGIDAP","163",100,1
"ASAGIHACIAHMETLI","163",100,1
"ASAGIHASINLI","163",100,1
"ASAGIMUSALAR","163",100,1
"ASAL AWARD","475",100,1
"ASANSOL WEST BENGAL","436",100,1
"ASARLI","163",100,1
"ASCH-SCHARQIYYA","287",100,1
"ASCHAMIRAN","422",100,1
"ASCHIHOL","160",100,1
"ASCOLI PICENO","232",100,1
"ASEB","224",100,1
"ASEIBARDZAN","160",100,1
"ASELE","157",100,1
"ASENOV","125",100,1
"ASENOVGRAD","125",100,1
"ASENOVRAD","125",100,1
"ASHAIMAN","238",100,1
"ASHAKA","232",100,1
"ASHBY","168",100,1
"ASHFORD","168",100,1
"ASHGABAT","471",100,1
"ASHINGTON","152",100,1
"ASHKAN","475",100,1
"ASHKELON","441",100,1
"ASHKIDAH","248",100,1
"ASHRAFIYA SIHNAYA","475",100,1
"ASHRAFYAT SAHNYA","475",100,1
"ASHT","470",100,1
"ASIAKWA","137",100,1
"ASILAH","252",100,1
"ASIUT","287",100,1
"ASKABAT","163",100,1
"ASKERI","163",100,1
"ASLANTASH","475",100,1
"ASLIHANTEPECIK","163",100,1
"ASMABAG","163",100,1
"ASMERA","224",100,1
"ASOLA","137",100,1
"ASOMATOS","134",100,1
"ASOWO","160",100,1
"ASPROS","134",100,1
"ASRAA","475",100,1
"ASSAB","224",100,1
"ASSADIYA","475",100,1
"ASSAI","327",100,1
"ASSAL AL-WARD","475",100,1
"ASSAL ALWARD","475",100,1
"ASSANOWO","444",100,1
"ASSAYYIDA ZAINA","475",100,1
"ASSENOWGRAD","125",100,1
"ASSER","475",100,1
"ASSORO","137",100,1
"ASTANEH","439",100,1
"ASTI","232",100,1
"ASTRAHAN","169",100,1
"ASTRAHANKA","444",100,1
"ASTRAHEIM","166",100,1
"ASUNCION","359",100,1
"ASUOFUA","238",100,1
"ASUTKA","163",100,1
"ASWAN","287",100,1
"ASYOUT","287",100,1
"AT-AMIN","438",100,1
"AT-TAMIM","438",100,1
"ATAKUM","163",100,1
"ATAKYA","475",100,1
"ATAMAN","475",100,1
"ATAR","239",100,1
"ATASEHIR","163",100,1
"ATBURGAZI","163",100,1
"ATEL","154",100,1
"ATEN","157",100,1
"ATHASAKA","475",100,1
"ATHAURA","475",100,1
"ATHENI","121",100,1
"ATHENS GREECE","232",100,1
"ATHINA","134",100,1
"ATHINAI","121",100,1
"ATHINE","121",100,1
"ATHIUNE","121",100,1
"ATHORA","475",100,1
"ATINA","125",100,1
"ATINS","134",100,1
"ATJASCHEWO","160",100,1
"ATMACICI","122",100,1
"ATSCHCHOI-MARTAN","160",100,1
"ATSCHOI-MARTAN","160",100,1
"ATTI ATOVOU","283",100,1
"ATTIKHE","134",100,1
"ATTIKI","475",100,1
"ATTIKIS","134",100,1
"ATZESBERG","151",100,1
"AUBAGNE","129",100,1
"AUCHI","232",100,1
"AUCKLAND","467",100,1
"AUERMOUT ZAAROURA LARACHE","161",100,1
"AUGUSTA","137",100,1
"AUGUSTOW","152",100,1
"AUGUSTROW","152",100,1
"AULAD ALARAB","475",100,1
"AURANGABAD","436",100,1
"AUREL VLAICU","154",100,1
"AUSSERVILLGRATEN","151",100,1
"AUT","125",100,1
"AVDEEVKA","166",100,1
"AVELLANDA","124",100,1
"AVENUE DE LILE DE FRANCE","154",100,1
"AVESTA","157",100,1
"AVIGLIANO","137",100,1
"AVILES","161",100,1
"AVREN","125",100,1
"AVRIG","154",100,1
"AVSALLAR","152",100,1
"AVSARAGZI","163",100,1
"AVU OWERRI WEST","232",100,1
"AVUTTEPE","163",100,1
"AWAN GHORA SHAH HOSHIARPUR","436",100,1
"AWAN GHORE SHAH","436",100,1
"AWDIJIWKA","166",100,1
"AWGU","232",100,1
"AWIAD-ALARAB","475",100,1
"AWKA","232",100,1
"AWLAD ALAIASHI","161",100,1
"AWLAD-ALARAB","475",100,1
"AWO OMAMMA","232",100,1
"AXIOUPOLIS","134",100,1
"AYACHA","252",100,1
"AYANIK","163",100,1
"AYANUK","163",100,1
"AYAT","451",100,1
"AYDIN YENICE","163",100,1
"AYDINLAR","163",100,1
"AYEN","232",100,1
"AYKAR","163",100,1
"AYLESBURY GRAFSCHAFT BUCKINGHAM","168",100,1
"AYN AL-ARAB","475",100,1
"AYN ARAB","475",100,1
"AYRAN","163",100,1
"AYT RAHOU TCHOUKET BENI SAID","161",100,1
"AYTAROUN","451",100,1
"AYUTTHAYA","476",100,1
"AYVACIK","163",100,1
"AYVALI","163",100,1
"AYVALIK","163",100,1
"AYVATLAR","163",100,1
"AZARE","232",100,1
"AZDAWAY","163",100,1
"AZE","425",100,1
"AZEN","224",100,1
"AZERBAIJAN","425",100,1
"AZGHAR","252",100,1
"AZIEN","224",100,1
"AZILAL","252",100,1
"AZINHEIRA DOS BARROS","153",100,1
"AZIZABAD","423",100,1
"AZIZIYE","163",100,1
"AZMARIN","475",100,1
"AZNABUD","422",100,1
"AZOVSKOE","160",100,1
"AZUREM-GUIMARAES","153",100,1
"AZZABA","221",100,1
"AZƏRBAYCAN","425",100,1
"B. B. ARRERIDJ","221",100,1
"B. KOMARMUT","163",100,1
"B. KOSGERLI","163",100,1
"B. KOSKERLI","163",100,1
"B. OULICHK","252",100,1
"B. SIDEL-NADOR","252",100,1
"B.BOUYAFRAOU","252",100,1
"B.CURRI","121",100,1
"B.CURRI TROPOJE","121",100,1
"B.DOGANCILAR","163",100,1
"B.OULICHEK","252",100,1
"B.TUZHISAR","163",100,1
"BA RIA","432",100,1
"BA RIA VUNG TAU","432",100,1
"BA RIA-VUNG TAU","432",100,1
"BA-XUYEN","432",100,1
"BAABE","154",100,1
"BAADRE","438",100,1
"BAASHIKA","438",100,1
"BAASHIQA","438",100,1
"BAB","475",100,1
"BAB EL OUED","221",100,1
"BABADAG JUDET TULCEA","154",100,1
"BABAESKI","163",100,1
"BABAJI","166",100,1
"BABALLOQ","150",100,1
"BABEL","438",100,1
"BABENI","154",100,1
"BABICE","170",100,1
"BABIELE","475",100,1
"BABIL","438",100,1
"BABIRRI","475",100,1
"BABL","438",100,1
"BABOROW","152",100,1
"BACHIR","438",100,1
"BACHMACH","166",100,1
"BACHMATSCH","166",100,1
"BACHTSCHYSSARAJ","166",100,1
"BACICA","170",100,1
"BACIU","154",100,1
"BACKA PALANKA","170",100,1
"BACKO NOVO SELO","122",100,1
"BAD ALTHEIDE","152",100,1
"BAD CANNSTATT","134",100,1
"BAD FREDEBURG","163",100,1
"BAD HOMBURG","163",100,1
"BAD KONIGSDORF","152",100,1
"BAD KUDOWA","152",100,1
"BAD NEUENAHR","438",100,1
"BAD POLZIN","152",100,1
"BAD SCHALLERBACH","151",100,1
"BADACHSCHAN","423",100,1
"BADALONA","154",100,1
"BADER","475",100,1
"BADIA POLESINE","130",100,1
"BADOSCHI","438",100,1
"BADRA","438",100,1
"BAFANG","262",100,1
"BAFOU","262",100,1
"BAFOUSSAM","262",100,1
"BAFUT","262",100,1
"BAGALADI","137",100,1
"BAGAN","160",100,1
"BAGARASI","163",100,1
"BAGDAD ALJADIDA","438",100,1
"BAGDAG","438",100,1
"BAGDATLI","163",100,1
"BAGDEST","163",100,1
"BAGHAD","438",100,1
"BAGHIAN","423",100,1
"BAGHMALEK","439",100,1
"BAGIN","475",100,1
"BAGLAN","423",100,1
"BAGLUNG","458",100,1
"BAGNOLS SUR CEZE","129",100,1
